id,category,name,scope,standard,aliases,n_projects,n_links,projects,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2
frame.hfsb5-2020-232-ltp,Frame,HFSB5-2020-232-LTP,,G,,1,1,voron-trident,,1@250x250x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-240,Frame,HFSB5-2020-240,,D,,2,1,voron-trident voron-1.8,,1@250x250x250,,,,,,,,,,,,,1@250x250x230,,
frame.hfsb5-2020-282-ltp,Frame,HFSB5-2020-282-LTP,,G,,1,1,voron-trident,,1@300x300x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-290,Frame,HFSB5-2020-290,,D,,2,1,voron-trident voron-1.8,,1@300x300x250,,,,,,,,,,,,,1@300x300x230,,
frame.hfsb5-2020-330,Frame,HFSB5-2020-330,,E,,2,2,voron-trident voron-1.8,,1@250x250x250,,,,,,,,,,,,,1@250x250x230,,
frame.hfsb5-2020-330-ltp,Frame,HFSB5-2020-330-LTP,,H,,1,1,voron-trident,,1@250x250x250; 1@300x300x250; 1@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-332-ltp,Frame,HFSB5-2020-332-LTP,,G,,1,1,voron-trident,,1@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-340,Frame,HFSB5-2020-340,,D,,1,1,voron-trident,,1@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-370,Frame,HFSB5-2020-370,,,,1,1,voron-1.8,,,,,,,,,,,,,,,1@250x250x230,,
frame.hfsb5-2020-370-ah185,Frame,HFSB5-2020-370-AH185,,F,,1,1,voron-trident,,1@250x250x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-370-ah185-tpw,Frame,HFSB5-2020-370-AH185-TPW,,C,,1,1,voron-trident,,1@250x250x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-370-ah45-bh325,Frame,HFSB5-2020-370-AH45-BH325,,,,1,1,voron-1.8,,,,,,,,,,,,,,,2@250x250x230,,
frame.hfsb5-2020-370-tpw,Frame,HFSB5-2020-370-TPW,,A,,2,1,voron-trident voron-1.8,,9@250x250x250,,,,,,,,,,,,,10@250x250x230,,
frame.hfsb5-2020-380,Frame,HFSB5-2020-380,,E,,2,1,voron-trident voron-1.8,,1@300x300x250,,,,,,,,,,,,,1@300x300x230,,
frame.hfsb5-2020-420,Frame,HFSB5-2020-420,,,,1,0,voron-1.8,,,,,,,,,,,,,,,1@300x300x230,,
frame.hfsb5-2020-420-ah210,Frame,HFSB5-2020-420-AH210,,F,,1,1,voron-trident,,1@300x300x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-420-ah210-tpw,Frame,HFSB5-2020-420-AH210-TPW,,C,,1,1,voron-trident,,1@300x300x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-420-ah45-bh375,Frame,HFSB5-2020-420-AH45-BH375,,,,1,0,voron-1.8,,,,,,,,,,,,,,,2@300x300x230,,
frame.hfsb5-2020-420-tpw,Frame,HFSB5-2020-420-TPW,,A,,2,1,voron-trident voron-1.8,,9@300x300x250,,,,,,,,,,,,,10@300x300x230,,
frame.hfsb5-2020-430,Frame,HFSB5-2020-430,,E,,1,1,voron-trident,,1@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-470-ah235,Frame,HFSB5-2020-470-AH235,,F,,1,1,voron-trident,,1@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-470-ah235-tpw,Frame,HFSB5-2020-470-AH235-TPW,,C,,1,1,voron-trident,,1@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-470-tpw,Frame,HFSB5-2020-470-TPW,,A,,1,1,voron-trident,,9@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-500-lcp-rcp-av360,Frame,HFSB5-2020-500-LCP-RCP-AV360,,B,,1,1,voron-trident,,4@250x250x250; 4@300x300x250; 4@350x350x250,,,,,,,,,,,,,,,
frame.hfsb5-2020-500-ltp-rcp-av380-ap40,Frame,HFSB5-2020-500-LTP-RCP-AV380-AP40,,,,1,1,voron-1.8,,,,,,,,,,,,,,,4@250x250x230; 4@300x300x230,,
frame.makerbeam-xl-15x15-100mm,Frame,Makerbeam XL 15x15 100mm,,,,3,0,voron-0.2 voron-0 voron-0.1,,,3,,,,,,,,,,3,3,,,
frame.makerbeam-xl-15x15-200mm,Frame,Makerbeam XL 15x15 200mm,,,,3,4,voron-0.2 voron-0 voron-0.1,,,16; 4,,,,,,,,,,16,16,,,
frame.makerbeam-xl-15x15-80-100mm,Frame,Makerbeam XL 15x15 80-100mm,,,,1,0,voron-0.2,,,4,,,,,,,,,,,,,,
frame.misumi-2020-x-340mm-hfsb5-2020-340,Frame,Misumi 2020 x 340mm - HFSB5-2020-340,,,,1,0,voron-switchwire,,,,1,,,,,,,,,,,,,
frame.misumi-2020-x-340mm-hfsb5-2020-340-ah15-bh325,Frame,Misumi 2020 x 340mm - HFSB5-2020-340-AH15-BH325,,,,1,0,voron-switchwire,,,,1,,,,,,,,,,,,,
frame.misumi-3030-x-300mm-hfsb6-3030-300-tpw,Frame,Misumi 3030 x 300mm - HFSB6-3030-300-TPW,,,,1,0,voron-switchwire,,,,2,,,,,,,,,,,,,
frame.misumi-3030-x-360mm-hfsb6-3030-360-lch-rch,Frame,Misumi 3030 x 360mm - HFSB6-3030-360-LCH-RCH,,,,1,0,voron-switchwire,,,,1,,,,,,,,,,,,,
frame.misumi-3030-x-400mm-hfsb6-3030-400-tpw,Frame,Misumi 3030 x 400mm - HFSB6-3030-400-TPW,,,,1,0,voron-switchwire,,,,2,,,,,,,,,,,,,
frame.misumi-3060-x-520mm-hfsb6-3060-520-ah105-bh415-av180,Frame,Misumi 3060 x 520mm - HFSB6-3060-520-AH105-BH415-AV180,,,,1,0,voron-switchwire,,,,2,,,,,,,,,,,,,
frame.misumi-hfsb5-2020-size-depends-use-configurator,Frame,Misumi HFSB5-2020 (Size depends - use configurator),,,,4,2,voron-2.4 voron-trident voron-1.8 voron-2.2,18@250; 18@300; 18@350,,,,,,,,,,,,,,,,17@250; 17@300; 17@350
frame.openbuilds-angle-corner-connector,Frame,OpenBuilds Angle Corner Connector,,,,2,1,voron-2.4 voron-2.2,4,,,,,,,,,,,,,,,,4
hardware.3x5x0-5-shim-ring-3mm-id-5mm-od,Hardware,"3x5x0.5 Shim Ring (3mm ID, 5mm OD)",,,,1,4,voron-0,,,,,,,,,,,,,4,,,,
hardware.3x7x0-5-shim-ring-3mm-id-7-mm-od,Hardware,"3x7x0.5 Shim Ring (3mm ID, 7 mm OD)",,DIN988,,1,3,voron-0,,,,,,,,,,,,,26,,,,
hardware.bmg-extruder-insides,Hardware,BMG Extruder Insides,,,,3,2,stealthburner afterburner voron-0,,,,,,1,,,1,,,,1,,,,
hardware.bondtech-drive-gear-kit,Hardware,Bondtech Drive Gear Kit,,,,2,4,afterburner voron-0,,,,,,,,,1,,,,1,,,,
hardware.hotend-mounting-screws-m2-5-m3,Hardware,Hotend Mounting Screws (M2.5/M3),,,,1,0,stealthburner,,,,,,2-4,,,,,,,,,,,
hardware.m2-nut,Hardware,M2 Nut,,ISO 4033 / DIN 934,,3,2,voron-0.2 voron-0 voron-0.1,,,60,,,,,,,,,,25-50,55,,,
hardware.m2-5x12-shcs-for-dragon-hotend-only,Hardware,M2.5x12 SHCS (for dragon hotend only),,DIN 912,,1,1,voron-0,,,,,,,,,,,,,4,,,,
hardware.m2-5x6-bhcs,Hardware,M2.5x6 BHCS,,ISO 7380-1,,1,2,voron-0.1,,,,,,,,,,,,,,5,,,
hardware.m2x6-bhcs,Hardware,M2x6 BHCS,,ISO 7380-1,,1,3,voron-0,,,,,,,,,,,,,33-58,,,,
hardware.m2x6-bhcs-shcs,Hardware,M2x6 BHCS/SHCS,,ISO 7380-1,,1,3,voron-0.1,,,,,,,,,,,,,,70,,,
hardware.m2x6-fhcs,Hardware,M2x6 FHCS,,ISO 10642 / DIN7991,,2,2,voron-0.2 voron-0.1,,,10,,,,,,,,,,,10,,,
hardware.m2x6-shcs,Hardware,M2x6 SHCS,,ISO 4762 / DIN 912,,1,3,voron-0.2,,,60,,,,,,,,,,,,,,
hardware.m2x8-shcs,Hardware,M2x8 SHCS,,ISO 4762 / DIN 912,,3,5,voron-0.2 voron-0 voron-0.1,,,10,,,,,,,,,,12,10,,,
hardware.m2x8mm-self-tapping-screw,Hardware,M2x8mm Self Tapping Screw,,,,1,2,jetpack,,,,,,,,,,,,1,,,,,
hardware.m3-hexnut,Hardware,M3 Hexnut,,ISO 4033 / DIN 934,M3 Nut,10,4,voron-2.4 voron-0.2 voron-switchwire afterburner mobius-3.1 jetpack voron-0 voron-0.1 voron-1.8 voron-2.2,7,,140,3,,,,,3,,6,5,162; 2,120,7,,64
hardware.m3-thumb-nuts,Hardware,M3 Thumb Nuts,,DIN 467,,1,1,voron-0,,,,,,,,,,,,,3,,,,
hardware.m3x10-bhcs,Hardware,M3x10 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,50,,,,,,,,,,26,25,,,
hardware.m3x10-shcs,Hardware,M3x10 SHCS,,,,1,0,stealthburner,,,,,,2,,,,,,,,,,,
hardware.m3x10mm-bhcs,Hardware,M3x10mm BHCS,,ISO 7380-1,,1,0,voron-0,,,,,,,,,,,,,1,,,,
hardware.m3x12-bhcs,Hardware,M3x12 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,25,,,,,,,,,,20,25,,,
hardware.m3x12mm-bhcs,Hardware,M3x12mm BHCS,,ISO 7380-1,,1,0,voron-0,,,,,,,,,,,,,6,,,,
hardware.m3x16-bhcs,Hardware,M3x16 BHCS,,ISO 7380-1,,2,2,voron-0.2 voron-0.1,,,10,,,,,,,,,,,5,,,
hardware.m3x25-bhcs,Hardware,M3x25 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,10,,,,,,,,,,7,10,,,
hardware.m3x30-bhcs,Hardware,M3x30 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,10,,,,,,,,,,8,10,,,
hardware.m3x30mm-bhcs,Hardware,M3x30mm BHCS,,ISO 7380-1,,1,0,voron-0,,,,,,,,,,,,,4,,,,
hardware.m3x35-bhcs,Hardware,M3x35 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,25,,,,,,,,,,35,30,,,
hardware.m3x40-bhcs,Hardware,M3x40 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,10,,,,,,,,,,3,10,,,
hardware.m3x50-shcs,Hardware,M3x50 SHCS,,,,1,1,stealthburner,,,,,,2,,,,,,,,,,,
hardware.m3x6mm-bhcs,Hardware,M3x6mm BHCS,,ISO 7380-1,,1,0,voron-0,,,,,,,,,,,,,1,,,,
hardware.m3x6mm-set-screw,Hardware,M3x6mm Set Screw,,,,1,3,jetpack,,,,,,,,,,,,4,,,,,
hardware.m3x8-bhcs,Hardware,M3x8 BHCS,,ISO 7380-1,,3,2,voron-0.2 voron-0 voron-0.1,,,115,,,,,,,,,,61,100,,,
hardware.m3x8-fhcs,Hardware,M3x8 FHCS,,ISO 10642,,2,0,voron-0.2 voron-0.1,,,5,,,,,,,,,,,5,,,
hardware.m5x25-bhcs,Hardware,M5x25 BHCS,,,,1,2,jetpack,,,,,,,,,,,,2,,,,,
hardware.m5x35mm-bhcs,Hardware,M5x35mm BHCS,,ISO 7380-1,,1,2,voron-0,,,,,,,,,,,,,2,,,,
hardware.makerbeam-xl-m3-t-nut,Hardware,Makerbeam XL M3 t-nut,,,,2,2,voron-0.2 voron-0.1,,,2,,,,,,,,,,,2,,,
hardware.makerbeam-xl-m3-t-nut-15-x-5-5-x-1-5mm,Hardware,Makerbeam XL M3 t-nut (15 x 5.5 x 1.5mm),,,,1,2,voron-0,,,,,,,,,,,,,2,,,,
hardware.shim-washer-6mm-od-3mm-id-0-5mm-thick-thickness-is-important,Hardware,Shim Washer - 6mm OD - 3mm ID - 0.5mm Thick (thickness is important),,DIN988,,2,2,voron-0.2 voron-0.1,,,50,,,,,,,,,,,35,,,
hardware.thumb-screw-assembly,Hardware,Thumb Screw Assembly,,,,5,4,voron-0.2 afterburner voron-m4 voron-0 voron-0.1,,,1,,,,,,1,1,,,1,1,,,
hotend.2-into-1-y-splitter,Hotend,2 into 1 Y Splitter,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.copper-v6-heat-block,Hotend,Copper V6 Heat Block,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.copper-volcano-heatblock,Hotend,Copper Volcano Heatblock,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.e3d-v6-bowden-hotend-kit-12v,Hotend,E3D V6 Bowden Hotend Kit (12V),,,,2,2,voron-1.6.2 voron-2.2,,,,,,,,,,,,,,,,1,1
hotend.e3d-v6-hotend-bowden,Hotend,E3D V6 Hotend Bowden,,,,1,0,afterburner,,,,,,,,,,,,,,,,,
hotend.e3d-volcano-bowden-hotend-kit-12v,Hotend,E3D Volcano Bowden Hotend Kit (12V),,,,1,1,optional-parts,,,,,,,1,,,,,,,,,,
hotend.trianglelab-dragon-hotend,Hotend,TriangleLab Dragon Hotend,,,Dragon Hotend | TriangleLab Dragon HotEnd | TL Dragon Hotend,4,1,optional-parts afterburner voron-0 voron-0.1,,,,,,,1,,,,,,1,1,,,
hotend.v6-and-or-mosquito-brass-nozzle,Hotend,V6 and/or Mosquito Brass Nozzle,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.v6-and-or-mosquito-copper-nozzle,Hotend,V6 and/or Mosquito Copper Nozzle,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.v6-and-or-mosquito-steel-nozzle,Hotend,V6 and/or Mosquito Steel Nozzle,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.v6-volcano-heatsink,Hotend,V6/Volcano Heatsink,,,,1,2,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.v6-volcano-titanium-heatbreak,Hotend,V6/Volcano Titanium Heatbreak,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.volcano-brass-nozzle,Hotend,Volcano Brass Nozzle,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.volcano-copper-nozzle,Hotend,Volcano Copper Nozzle,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
hotend.volcano-steel-nozzle,Hotend,Volcano Steel Nozzle,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
kits.voron-v0-1-kit-formbot,Kits,Voron V0.1 Kit - FORMBOT,,,,2,1,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
kits.voron-v0-1-kit-fysetc,Kits,Voron V0.1 Kit - FYSETC,,,Voron V0.1 Kit - FYSTECH,2,1,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
kits.voron-v0-1-kit-ldo,Kits,Voron V0.1 Kit - LDO,,,,2,2,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
kits.voron-v0-1-kit-siboor,Kits,Voron V0.1 Kit - SIBOOR,,,,1,1,voron-0.2,,,1,,,,,,,,,,,,,,
misc.3m-5952-vhb,Misc,3m 5952 VHB,,,,2,1,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
misc.3m-vhb-tape,Misc,3M VHB Tape,,,,1,1,optional-parts,,,,,,,1,,,,,,,,,,
misc.6mm-x-3mm-round-neodymium-magnets,Misc,6mm x 3mm Round Neodymium Magnets,,,,6,5,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-0 voron-0.1,8,8,8,8,,,,,,,,,8,8,,,
misc.6x3mm-magnet,Misc,6x3mm Magnet,,,,1,2,stealthburner,,,,,,1,,,,,,,,,,,
misc.bmg-extruder-hardware-kit-if-configured-with-direct-feed,Misc,BMG Extruder Hardware Kit (if configured with direct feed),,,BMG Extruder Components Kit (if configured with direct feed),2,2,voron-2.4 voron-switchwire,1,,,1,,,,,,,,,,,,,
misc.bowden-coupler-for-4mm-od-tube,Misc,Bowden Coupler (for 4mm OD tube),,,,1,2,voron-2.4,1,,,,,,,,,,,,,,,,
misc.bowden-tube,Misc,Bowden Tube,,,,4,3,voron-trident mobius-3.1 voron-1.8 voron-2.2,,,,,,,,,,,3m,,,,,,3m
misc.bowden-tube-4mm-od-2mm-id,Misc,"Bowden Tube (4mm OD, 2mm ID)",,,Bowden Tube 4mm OD/2mm ID,2,3,voron-switchwire jetpack,,,,30mm,,,,,,,,3m,,,,,
misc.bowden-tube-4mm-od-3mm-id-optional-for-reverse-bowden,Misc,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",,,,1,2,voron-switchwire,,,,3m,,,,,,,,,,,,,
misc.bowden-tube-4mm-od-id-depends-on-extruder-type,Misc,"Bowden Tube (4mm OD, ID depends on extruder type)",,,,1,2,voron-2.4,3m,,,,,,,,,,,,,,,,
misc.din-rail-electronics-enclosure-steel-35mm-wide-7-5mm-tall-steel,Misc,"DIN Rail - Electronics Enclosure - Steel - 35mm wide, 7.5mm tall, Steel",,,,2,1,voron-trident voron-1.8,,2@250 build - 369mm; 2@300 build - 419mm; 2@350 build - 469mm,,,,,,,,,,,,,2-3@250 build - 370mm; 2-3@300 build - 420mm,,
misc.filament-out-switch,Misc,Filament Out Switch,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
misc.foam-panel-tape-5mm-wide-1mm-thick,Misc,Foam Panel Tape (5mm Wide/1mm Thick),,,,1,2,optional-parts,,,,,,,2,,,,,,,,,,
misc.foam-panel-tape-5mm-wide-3mm-thick,Misc,Foam Panel Tape (5mm wide/3mm thick),,,,2,1,voron-2.4 voron-trident,7m,7m,,,,,,,,,,,,,,,
misc.fume-extractor-carbon-filter-element,Misc,Fume Extractor Carbon Filter Element,,,,1,3,optional-parts,,,,,,,1,,,,,,,,,,
misc.john-guest-bowden-coupling-1-8-bspp-4mm-tubing,Misc,"John Guest Bowden Coupling (1/8"" BSPP, 4mm Tubing)",,,,1,2,jetpack,,,,,,,,,,,,1,,,,,
misc.little-rubber-feet-14x11x9mm,Misc,Little Rubber Feet (14x11x9mm),,,,3,2,voron-0.2 voron-0 voron-0.1,,,4,,,,,,,,,,4,4,,,
misc.medium-strength-thread-locker,Misc,medium strength thread locker,,,,1,0,voron-0.2,,,1,,,,,,,,,,,,,,
misc.metal-x-carriage-optional,Misc,Metal X Carriage (OPTIONAL),,,,1,1,voron-0.1,,,,,,,,,,,,,,1,,,
misc.mosquito-hotend-sock,Misc,Mosquito Hotend Sock,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
misc.needle-bearings-for-bondtech-idler,Misc,Needle Bearings for Bondtech Idler,,,,1,1,mobius-3.1,,,,,,,,,,,1,,,,,,
misc.nozzle-scrubber-brush,Misc,Nozzle Scrubber Brush,,,,1,2,optional-parts,,,,,,,1,,,,,,,,,,
misc.ptfe-tube,Misc,PTFE Tube,,,,1,2,stealthburner,,,,,,1,,,,,,,,,,,
misc.v6-hotend-sock,Misc,V6 Hotend Sock,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
misc.volcano-hotend-sock,Misc,Volcano Hotend Sock,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
motion.110-gt2-belt-loop,Motion,110 gt2 belt loop,,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
motion.5mm-x-45mm-shaft-grind-flat,Motion,5mm x 45mm Shaft - Grind Flat,,,,1,1,jetpack,,,,,,,,,,,,1,,,,,
motion.5mm-x-50mm-shaft,Motion,5mm x 50mm Shaft,,,,2,1,voron-m4 mobius-3.1,,,,,,,,,,1,1,,,,,,
motion.5x26mm-shaft,Motion,5x26mm Shaft,,,,1,1,voron-2.2,,,,,,,,,,,,,,,,,2
motion.5x28mm-shaft-you-can-cut-down-a-30mm-bed-height-will-change-this,Motion,"5x28mm Shaft - (You can cut down a 30mm, Bed Height will change this)",,,,1,1,voron-2.2,,,,,,,,,,,,,,,,,1
motion.5x30mm-shaft,Motion,5x30mm Shaft,,,,4,2,voron-2.4 voron-trident voron-1.8 voron-2.2,1,1,,,,,,,,,,,,,1,,6
motion.5x50mm-shaft-grind-flat,Motion,5x50mm Shaft - Grind Flat,,,,1,1,voron-2.2,,,,,,,,,,,,,,,,,2
motion.5x60mm-shaft-grind-flat,Motion,5x60mm Shaft - Grind Flat,,,,2,1,voron-2.4 voron-2.2,4,,,,,,,,,,,,,,,,4
motion.625-2rs-bearing,Motion,625 2RS Bearing,,,,2,2,voron-2.4 voron-2.2,12,,,,,,,,,,,,,,,,16
motion.8mm-t8x8-trapezoidal-acme-lead-screw-200mm-8mm-lead,Motion,8mm T8x8 Trapezoidal ACME Lead Screw 200mm (8mm lead),,,,1,2,voron-0,,,,,,,,,,,,,1,,,,
motion.bondtech-drive-gear-set,Motion,Bondtech Drive Gear Set,,,,3,2,voron-m4 mobius-3.1 jetpack,,,,,,,,,,1,1,1,,,,,
motion.extruder-spring,Motion,Extruder Spring,,,,1,1,jetpack,,,,,,,,,,,,1,,,,,
motion.f623-rs-bearing,Motion,F623-RS Bearing,,,,3,3,voron-0.2 voron-0 voron-0.1,,,24,,,,,,,,,,20,24,,,
motion.f688-rs-bearing,Motion,F688-RS Bearing,,,,1,2,voron-0,,,,,,,,,,,,,1,,,,
motion.f695-2rs,Motion,F695 2RS,,,,2,2,voron-m4 mobius-3.1,,,,,,,,,,2,2,,,,,,
motion.f695-2rs-bearing,Motion,F695 2RS Bearing,,,,3,3,voron-2.4 voron-switchwire voron-2.2,20,,,20,,,,,,,,,,,,,36
motion.f695-bearing,Motion,F695 Bearing,,,,1,2,voron-1.8,,,,,,,,,,,,,,,20,,
motion.f695-bearing-add-two-for-stepper-double-shear,Motion,F695 Bearing (add two for stepper double shear),,,,1,2,voron-trident,,24,,,,,,,,,,,,,,,
motion.ge5c-spherical-bearing,Motion,GE5C Spherical Bearing,,,,1,2,voron-trident,,3,,,,,,,,,,,,,,,
motion.gt2-16t-6mm-wide-pulley-5mm-bore,Motion,GT2 16T (6mm wide) Pulley (5mm bore),,,,3,1,voron-2.4 jetpack voron-2.2,4,,,,,,,,,,,2,,,,,4
motion.gt2-16t-toothed-idler-w-bearing-6mm-wide-3mm-bore-13mmod,Motion,GT2 16T Toothed idler w/bearing (6mm wide) (3mm bore) (13mmOD),,,,1,1,voron-0,,,,,,,,,,,,,2,,,,
motion.gt2-20t-6mm-wide-8mm-bore,Motion,GT2 20T (6mm wide) (8mm bore),,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
motion.gt2-20t-6mm-wide-pulley-5mm-bore,Motion,GT2 20T (6mm wide) Pulley (5mm bore),,,"GT2 20T (6mm wide) (5mm bore) | GT2 20T Pulley (6mm wide, 5mm bore)",10,6,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-m4 mobius-3.1 voron-0 voron-0.1 voron-1.8 voron-2.2,3,3,2,3,,,,,,2,2,,3,2,3,,13
motion.gt2-20t-6mm-wide-pulley-5mm-bore-no-set-screw-hub,Motion,GT2 20T (6mm wide) Pulley (5mm bore) - No Set Screw Hub,,,,1,0,voron-2.2,,,,,,,,,,,,,,,,,2
motion.gt2-20t-6mm-wide-toothed-idler-5mm-bore,Motion,GT2 20T (6mm wide) Toothed Idler (5mm bore),,,,3,3,voron-2.4 voron-trident voron-1.8,2,2,,,,,,,,,,,,,2,,
motion.gt2-20t-9mm-wide-pulley-5mm-bore,Motion,GT2 20T (9mm wide) Pulley (5mm bore),,,,2,1,voron-2.4 voron-2.2,4,,,,,,,,,,,,,,,,8
motion.gt2-20t-9mm-wide-toothed-idler-5mm-bore,Motion,GT2 20T (9mm wide) Toothed Idler (5mm bore),,,,1,3,voron-2.4,4,,,,,,,,,,,,,,,,
motion.gt2-80t-6mm-wide-pulley-5mm-bore,Motion,GT2 80T (6mm wide) Pulley (5mm bore),,,,1,1,voron-2.4,4,,,,,,,,,,,,,,,,
motion.gt2-belt-loop-6mm-wide-110mm,Motion,GT2 Belt Loop (6mm wide) - 110mm,,,,1,2,voron-2.2,,,,,,,,,,,,,,,,,2
motion.gt2-belt-loop-6mm-wide-150mm,Motion,GT2 Belt Loop (6mm wide) - 150mm,,,,1,1,jetpack,,,,,,,,,,,,1,,,,,
motion.gt2-belt-loop-6mm-wide-188mm,Motion,GT2 Belt Loop (6mm wide) - 188mm,,,,4,3,voron-2.4 voron-m4 mobius-3.1 voron-2.2,4,,,,,,,,,1,1,,,,,,4
motion.gt2-open-belt-6mm-2-meters,Motion,GT2 Open Belt 6mm (2 meters),,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
motion.gt2-open-belt-6mm-3-meters,Motion,GT2 Open Belt 6mm (3 meters),,,,1,2,voron-0.1,,,,,,,,,,,,,,1,,,
motion.gt2-open-belt-6mm-3000mm,Motion,GT2 Open Belt 6mm (3000mm),,,,1,2,voron-0.2,,,1,,,,,,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide,Motion,GT2 Open Belt LL-2GT-6 (6mm wide),,,,2,3,voron-trident voron-1.8,,6 meters,,,,,,,,,,,,,6 meters,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide-1500mm,Motion,GT2 Open Belt LL-2GT-6 (6mm wide) - 1500mm,,,,1,3,voron-switchwire,,,,2,,,,,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide-800mm,Motion,GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,,,,1,0,voron-switchwire,,,,1,,,,,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide-length-dependant-on-config,Motion,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,,,,2,4,voron-2.4 voron-2.2,2,,,,,,,,,,,,,,,,2
motion.gt2-open-belt-ll-2gt-6-9mm-wide-length-dependant-on-config,Motion,GT2 Open Belt LL-2GT-6 (9mm wide) - Length Dependant on Config,,,,1,1,voron-2.2,,,,,,,,,,,,,,,,,4
motion.gt2-open-belt-ll-2gt-9-9mm-wide-length-dependant-on-config,Motion,GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,,,,1,1,voron-2.4,4,,,,,,,,,,,,,,,,
motion.integrated-lead-screw-stepper-motors-300mm-2-4-8mm-pitch,Motion,"Integrated Lead Screw/Stepper Motors - 300mm, 2/4/8mm pitch",,,,2,2,voron-trident voron-1.8,,3,,,,,,,,,,,,,2,,
motion.key-bak-super48-36-13oz,Motion,"Key-bak Super48 36"" 13oz",,,,1,1,voron-switchwire,,,,1,,,,,,,,,,,,,
motion.kfl08-pillow-bearing-8mm-id,Motion,KFL08 pillow bearing 8mm ID,,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
motion.linear-bearings-lmuw8,Motion,Linear Bearings (LMUW8),,,,1,1,voron-1.6.2,,,,,,,,,,,,,,,,8,
motion.linear-bearings-lm8luu,Motion,Linear Bearings - LM8LUU,,,,1,1,voron-1.8,,,,,,,,,,,,,,,4,,
motion.linear-rail-mgn12h-300mm,Motion,Linear Rail MGN12H (300mm),,,,1,2,voron-switchwire,,,,4,,,,,,,,,,,,,
motion.linear-rail-mgn12h-see-configurator-for-length,Motion,Linear Rail MGN12H ** See Configurator for length **,,,,1,3,voron-2.4,1@250; 1@300; 1@350,,,,,,,,,,,,,,,,
