id,category,name,scope,standard,aliases,n_projects,n_links,projects,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2
electronics.nema14-36mm-round-pancake-motor-with-10-tooth-gear-20mm,Electronics,NEMA14 36mm Round Pancake Motor with 10 tooth gear 20mm,,,,1,3,stealthburner,,,,,,1,,,,,,,,,,,
electronics.nema14-36mm-round-pancake-stepper-motor-with-10-tooth-spur-gear-ldo-36sth20-1004ahg,Electronics,NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (LDO 36STH20-1004AHG),,,,2,2,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
electronics.nema14-36mm-round-pancake-stepper-motor-with-10-tooth-spur-gear-omc-14hr07-1004vrn,Electronics,NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (OMC 14HR07-1004VRN),,,,2,1,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
electronics.nema14-stepper-motor-14hs10-0404s,Electronics,NEMA14 Stepper Motor (14HS10-0404S),,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
electronics.nema14-stepper-motor-14hs17-0504s,Electronics,NEMA14 Stepper Motor (14HS17-0504S),,,,1,2,voron-0,,,,,,,,,,,,,3,,,,
electronics.nema14-stepper-motor-40ncm,Electronics,NEMA14 Stepper Motor 40Ncm,,,,2,3,voron-0.2 voron-0.1,,,2,,,,,,,,,,,2,,,
electronics.nema17-motor-17hs08-1004s,Electronics,NEMA17 Motor 17HS08-1004S,,,,4,4,voron-trident afterburner jetpack voron-1.8,,1,,,,,,,1,,,1,,,1,,
electronics.nema17-motor-17hs15-1504s1,Electronics,NEMA17 Motor 17HS15-1504S1,,,,2,3,voron-switchwire voron-m4,,,,3,,,,,,1,,,,,,,
electronics.nema17-motor-17hs19-2004s,Electronics,NEMA17 Motor 17HS19-2004S,,,,5,5,voron-2.4 mobius-3.1 voron-1.8 voron-1.6.2 voron-2.2,6,,,,,,,,,,1,,,,2,2,6
electronics.nema17-motor-17hs19-2004s-min-35mm-shaft-for-double-shear,Electronics,NEMA17 Motor 17HS19-2004S (min 35mm shaft for double shear),,,,1,4,voron-trident,,2,,,,,,,,,,,,,,,
electronics.nema17-motor-with-leadscrew-17ls19-1684e-300g,Electronics,NEMA17 Motor with Leadscrew (17LS19-1684E-300G),,,,1,2,voron-1.6.2,,,,,,,,,,,,,,,,2,
electronics.nema17-stepper-motor-34mm-max-with-integrated-lead-screw-200mm-t8x8,Electronics,NEMA17 Stepper Motor (34mm max) with integrated lead screw 200mm T8x8,,,,1,2,voron-0.1,,,,,,,,,,,,,,1,,,
electronics.nema17-stepper-motor-with-integrated-lead-screw-200mm-t8x8,Electronics,NEMA17 Stepper Motor with integrated lead screw 200mm T8x8,,,,1,2,voron-0.2,,,1,,,,,,,,,,,,,,
electronics.neopixel-rgbw-mini-button-pcb,Electronics,NeoPixel RGBW Mini Button PCB,,,,1,0,stealthburner,,,,,,3,,,,,,,,,,,
electronics.ntc-100k-beta-3950-thermistor-sensor,Electronics,NTC 100K Beta 3950 Thermistor Sensor,,,,1,1,optional-parts,,,,,,,Spare,,,,,,,,,,
electronics.nylon-pcb-standoff-kit-m3,Electronics,Nylon PCB Standoff Kit (M3),,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
electronics.omron-g3na-210b-dc5-10a-or-crydom-d2425-25a-or-crydom-84134000-10a-ssr,Electronics,Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR,,,,4,4,voron-trident voron-1.8 voron-1.6.2 voron-2.2,,1,,,,,,,,,,,,,1,1,1
electronics.omron-g3na-210b-dc5-10a-or-crydom-d2425-25a-or-crydom-84134000-10a-ssr-or-panasonic-aqa211vl-15a,Electronics,Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR or Panasonic AQA211VL (15A),,,,1,5,voron-2.4,1,,,,,,,,,,,,,,,,
