name_similarity,shared_links,id_a,name_a,projects_a,id_b,name_b,projects_b,urls
0.80,1,motion.gt2-open-belt-6mm-3-meters,GT2 Open Belt 6mm (3 meters),voron-0.1,motion.gt2-open-belt-6mm-3000mm,GT2 Open Belt 6mm (3000mm),voron-0.2,https://s.click.aliexpress.com/e/_dZ6ZPZ2
0.78,2,hardware.m2x6-bhcs-shcs,M2x6 BHCS/SHCS,voron-0.1,hardware.m2x6-shcs,M2x6 SHCS,voron-0.2,https://www.amazon.com/dp/B07W5J19Y5 | https://www.boltdepot.com/Metric_socket_cap_Class_12.9_alloy_steel_black_oxide_finish_2mm_x_0.4mm.aspx
0.78,1,hardware.m2x6-bhcs,M2x6 BHCS,voron-0,hardware.m2x6-bhcs-shcs,M2x6 BHCS/SHCS,voron-0.1,https://www.aliexpress.com/item/32966917947.html
0.77,2,electronics.nema14-36mm-round-pancake-motor-with-10-tooth-gear-20mm,NEMA14 36mm Round Pancake Motor with 10 tooth gear 20mm,stealthburner,electronics.nema14-36mm-round-pancake-stepper-motor-with-10-tooth-spur-gear-ldo-36sth20-1004ahg,NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (LDO 36STH20-1004AHG),voron-0.2 voron-0.1,https://s.click.aliexpress.com/e/_A2WTM8 | https://s.click.aliexpress.com/e/_DBnmZ1l
0.76,1,motion.gt2-open-belt-6mm-2-meters,GT2 Open Belt 6mm (2 meters),voron-0,motion.gt2-open-belt-6mm-3000mm,GT2 Open Belt 6mm (3000mm),voron-0.2,https://s.click.aliexpress.com/e/_dZ6ZPZ2
0.76,1,electronics.nema14-36mm-round-pancake-motor-with-10-tooth-gear-20mm,NEMA14 36mm Round Pancake Motor with 10 tooth gear 20mm,stealthburner,electronics.nema14-36mm-round-pancake-stepper-motor-with-10-tooth-spur-gear-omc-14hr07-1004vrn,NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (OMC 14HR07-1004VRN),voron-0.2 voron-0.1,https://www.omc-stepperonline.com/round-nema-14-bipolar-0-9deg-9-ncm-12-75-oz-in-1-0a-%CF%8636x17-5mm-4-wires-14hr07-1004vrn
0.75,1,fasteners.m2x8-self-tapping-screw-for-plastics,M2x8 Self Tapping Screw for Plastics,voron-2.2,hardware.m2x8mm-self-tapping-screw,M2x8mm Self Tapping Screw,jetpack,https://www.mcmaster.com/99397A264/
0.74,1,cables.microfit3-dual-row-10circuits-male-female-plug,Microfit3 Dual Row (10circuits) Male & Female Plug,voron-0,cables.microfit3-male-female-plugs,Microfit3 Male & Female Plugs,voron-0.2 voron-0.1,https://www.arrow.com/en/products/76650-0159/molex
0.74,1,electronics.bigtreetech-skr-mini-e3-v2,Bigtreetech SKR mini E3 (v2),voron-0.1,electronics.bigtreetech-skr-pico,Bigtreetech SKR Pico,voron-0.2,https://www.aliexpress.com/item/33042554065.html
0.73,1,fasteners.m2-x-12-or-13mm-plastite-self-tapping-screw,M2 x 12 or 13mm Plastite Self Tapping Screw,mobius-3.1,hardware.m2x8mm-self-tapping-screw,M2x8mm Self Tapping Screw,jetpack,https://www.aliexpress.com/item/32748428213.html
0.72,2,motion.linear-rail-mgn12h-300mm,Linear Rail MGN12H (300mm),voron-switchwire,motion.linear-rail-mgn12h-for-x-axis,Linear Rail MGN12H for X Axis,voron-trident,https://www.aliexpress.com/item/32829826159.html | https://www.zyltech.com/zyltech-mgn12-h-type-linear-rail-with-single-or-double-carriage-block
0.71,1,fasteners.m2x10-self-tapping-screw-for-plastics,M2x10 Self Tapping Screw for Plastics,voron-2.4 voron-trident voron-0.2 voron-switchwire stealthburner voron-0 voron-0.1,hardware.m2x8mm-self-tapping-screw,M2x8mm Self Tapping Screw,jetpack,https://www.aliexpress.com/item/32748428213.html
