name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
Voron V0.1 Kit - LDO,2,1,1,1,Voron V0.1 Kit - LDO,voron-0.1 voron-0.2
#4 x 3/8 Flat Head Self Tapping Screw,1,1,1,1,#4 x 3/8 Flat Head Self Tapping Screw,voron-2.2
"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick",1,1,1,1,"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick",voron-0.1
"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick (drawings and dxf on github)",1,1,1,1,"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick (drawings and dxf on github)",voron-0.2
"(Deck front,Deck back, Mid panel) 3mm thick",1,1,1,1,"(Deck front,Deck back, Mid panel) 3mm thick",voron-0
10x11 Cable Chain - Openable (1m),1,1,1,1,10x11 Cable Chain - Openable (1m),voron-switchwire
"10x11mm - 1 meter with 2 end sets (2 fixed end, 2 free end), R18 (18mm radius)",1,1,1,1,"10x11mm - 1 meter with 2 end sets (2 fixed end, 2 free end), R18 (18mm radius)",voron-1.8
"10x11mm - 1 meter with 3 end sets (3 fixed end, 3 free end), R18 (18mm radius)",1,1,1,1,"10x11mm - 1 meter with 3 end sets (3 fixed end, 3 free end), R18 (18mm radius)",voron-trident
10x16x0.2 Shim Ring,1,1,1,1,10x16x0.2 Shim Ring,voron-2.2
110 gt2 belt loop,1,1,1,1,110 gt2 belt loop,voron-0
16AWG Silicone Cable (10ft total),1,1,1,1,16AWG Silicone Cable (10ft total),voron-switchwire
18AWG PTFE wire wire (10ft total),1,1,1,1,18AWG PTFE wire wire (10ft total),voron-trident
18AWG Silicone Cable (10ft total),1,1,1,1,18AWG Silicone Cable (10ft total),voron-2.4
2 Pin KK Connector Housing,1,1,1,1,2 Pin KK Connector Housing,optional-parts
2 into 1 Y Splitter,1,1,1,1,2 into 1 Y Splitter,optional-parts
20AWG PTFE wire (10ft total),1,1,1,1,20AWG PTFE wire (10ft total),voron-trident
20AWG Silicone Cable (10ft total),1,1,1,1,20AWG Silicone Cable (10ft total),voron-switchwire
20AWG Silicone Cable (25ft total),1,1,1,1,20AWG Silicone Cable (25ft total),voron-1.8
20AWG Silicone Cable (50ft total),1,1,1,1,20AWG Silicone Cable (50ft total),voron-2.2
22AWG PTFE wire (100ft total),1,1,1,1,22AWG PTFE wire (100ft total),voron-trident
22AWG PTFE wire (250ft total),1,1,1,1,22AWG PTFE wire (250ft total),voron-2.4
24AWG PTFE Cable (30ft total),1,1,1,1,24AWG PTFE Cable (30ft total),stealthburner
24AWG Silicone Cable (100ft total),1,1,1,1,24AWG Silicone Cable (100ft total),voron-switchwire
24AWG Silicone Cable (120ft total),1,1,1,1,24AWG Silicone Cable (120ft total),voron-2.2
24AWG Silicone Cable (50ft total),1,1,1,1,24AWG Silicone Cable (50ft total),voron-1.8
3 Pin KK Connector Housing,1,1,1,1,3 Pin KK Connector Housing,optional-parts
3007 axial fan 5V (min 3.5CFM),1,1,1,1,3007 axial fan 5V (min 3.5CFM),voron-0.1
30AWG PTFE Cable (3ft total),1,1,1,1,30AWG PTFE Cable (3ft total),stealthburner
3M 5952 VHB tape (20mm or so is good),1,1,1,1,3M 5952 VHB tape (20mm or so is good),voron-0.2
3M VHB Tape,1,1,1,1,3M VHB Tape,optional-parts
"3x5x0.5 Shim Ring (3mm ID, 5mm OD)",1,1,1,1,"3x5x0.5 Shim Ring (3mm ID, 5mm OD)",voron-0
"3x7x0.5 Shim Ring (3mm ID, 7 mm OD)",1,1,1,1,"3x7x0.5 Shim Ring (3mm ID, 7 mm OD)",voron-0
4 Pin KK Connector Housing,1,1,1,1,4 Pin KK Connector Housing,optional-parts
4010 Axial Fan,1,1,1,1,4010 Axial Fan,stealthburner
40w Heater Cartridge,1,1,1,1,40w Heater Cartridge,optional-parts
5 Pin KK Connector Housing,1,1,1,1,5 Pin KK Connector Housing,optional-parts
50w Heater Cartridge,1,1,1,1,50w Heater Cartridge,optional-parts
5mm x 45mm Shaft - Grind Flat,1,1,1,1,5mm x 45mm Shaft - Grind Flat,jetpack
5x10x0.5 Shim Ring,1,1,1,1,5x10x0.5 Shim Ring,voron-2.2
5x26mm Shaft,1,1,1,1,5x26mm Shaft,voron-2.2
"5x28mm Shaft - (You can cut down a 30mm, Bed Height will change this)",1,1,1,1,"5x28mm Shaft - (You can cut down a 30mm, Bed Height will change this)",voron-2.2
5x50mm Shaft - Grind Flat,1,1,1,1,5x50mm Shaft - Grind Flat,voron-2.2
6 Stepper Controller (or multiple to equal 6+ steppers),1,1,1,1,6 Stepper Controller (or multiple to equal 6+ steppers),voron-trident
6in Digital Calipers,1,1,1,1,6in Digital Calipers,tools
6x3mm Magnet,1,1,1,1,6x3mm Magnet,stealthburner
6x6x3 Spacer,1,1,1,1,6x6x3 Spacer,voron-switchwire
8mm T8x8 Trapezoidal ACME Lead Screw 200mm (8mm lead),1,1,1,1,8mm T8x8 Trapezoidal ACME Lead Screw 200mm (8mm lead),voron-0
AC Inlet,1,1,1,1,AC Inlet,voron-0.1
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-2.4
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-trident
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-1.8
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-1.6.2
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-2.2
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),voron-0.2
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),voron-0
Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),1,1,1,1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),voron-0.1
Auto Adjusting - Wire Strippers,1,1,1,1,Auto Adjusting - Wire Strippers,tools
Battery Backup (110V US Only) (1500VA/900w),1,1,1,1,Battery Backup (110V US Only) (1500VA/900w),optional-parts
Bigtree SKR 1.4,1,1,1,1,Bigtree SKR 1.4,optional-parts
Bigtreetech SKR Pico,1,1,1,1,Bigtreetech SKR Pico,voron-0.2
Bigtreetech SKR mini E3 (v1.2 or v2),1,1,1,1,Bigtreetech SKR mini E3 (v1.2 or v2),voron-0
Bigtreetech SKR mini E3 (v2),1,1,1,1,Bigtreetech SKR mini E3 (v2),voron-0.1
Bottom/Back/Electronics Bay Panels,1,1,1,1,Bottom/Back/Electronics Bay Panels,voron-2.4
Bottom/Back/Electronics Bay Panels,1,1,1,1,Bottom/Back/Electronics Bay Panels,voron-1.8
Bottom/Back/Electronics Bay Panels,1,1,1,1,Bottom/Back/Electronics Bay Panels,voron-1.6.2
Bottom/Back/Electronics Bay Panels,1,1,1,1,Bottom/Back/Electronics Bay Panels,voron-2.2
Bowden Coupler (for 4mm OD tube),1,1,1,1,Bowden Coupler (for 4mm OD tube),voron-2.4
"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",1,1,1,1,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",voron-switchwire
"Bowden Tube (4mm OD, ID depends on extruder type)",1,1,1,1,"Bowden Tube (4mm OD, ID depends on extruder type)",voron-2.4
Bowden Tube 4mm OD/3mm ID,1,1,1,1,Bowden Tube 4mm OD/3mm ID,jetpack
C13 Power Cord with Inline Switch,1,1,1,1,C13 Power Cord with Inline Switch,voron-0
Camera (for Octoprint),1,1,1,1,Camera (for Octoprint),optional-parts
Center Punch,1,1,1,1,Center Punch,tools
Copper V6 Heat Block,1,1,1,1,Copper V6 Heat Block,optional-parts
Copper Volcano Heatblock,1,1,1,1,Copper Volcano Heatblock,optional-parts
Crydom ED24D3 SSR,1,1,1,1,Crydom ED24D3 SSR,voron-0
DIN Rail,1,1,1,1,DIN Rail,voron-2.4
Deburring Tool,1,1,1,1,Deburring Tool,tools
"Deck, Bottom and Back Panels",1,1,1,1,"Deck, Bottom and Back Panels",voron-trident
DuPont Connector Plug 2 Position,1,1,1,1,DuPont Connector Plug 2 Position,voron-2.2
DuPont Connector Plug 3 Position,1,1,1,1,DuPont Connector Plug 3 Position,voron-2.2
DuPont Connector Plug 4 Position,1,1,1,1,DuPont Connector Plug 4 Position,voron-2.2
Duet 2 - Duex5,1,1,1,1,Duet 2 - Duex5,optional-parts
Duet 2 - PT100 Daughter Board,1,1,1,1,Duet 2 - PT100 Daughter Board,optional-parts
Duet 2 Wifi,1,1,1,1,Duet 2 Wifi,optional-parts
Duet Maestro,1,1,1,1,Duet Maestro,optional-parts
Duet Maestro Expansion Board,1,1,1,1,Duet Maestro Expansion Board,optional-parts
E3D Revo VORON,1,1,1,1,E3D Revo VORON,voron-0.2
E3D V6 Hotend Bowden,1,1,1,1,E3D V6 Hotend Bowden,afterburner
E3D Volcano Bowden Hotend Kit (12V),1,1,1,1,E3D Volcano Bowden Hotend Kit (12V),optional-parts
Engineer PA-09 Crimping Tool,1,1,1,1,Engineer PA-09 Crimping Tool,tools
Extruder Spring,1,1,1,1,Extruder Spring,jetpack
F688-RS Bearing,1,1,1,1,F688-RS Bearing,voron-0
F695 Bearing,1,1,1,1,F695 Bearing,voron-1.8
F695 Bearing (add two for stepper double shear),1,1,1,1,F695 Bearing (add two for stepper double shear),voron-trident
Ferrule Crimping Tool,1,1,1,1,Ferrule Crimping Tool,tools
Filament Out Switch,1,1,1,1,Filament Out Switch,optional-parts
Flush Wire Cutters,1,1,1,1,Flush Wire Cutters,tools
Foam Panel Tape (5mm Wide/1mm Thick),1,1,1,1,Foam Panel Tape (5mm Wide/1mm Thick),optional-parts
Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),1,1,1,1,Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),voron-0
Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),1,1,1,1,Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),voron-0.1
Front Door 212mm x 239mm x 3mm (PC or Acrylic),1,1,1,1,Front Door 212mm x 239mm x 3mm (PC or Acrylic),voron-0.2
Fume Extractor Carbon Filter Element,1,1,1,1,Fume Extractor Carbon Filter Element,optional-parts
GE5C Spherical Bearing,1,1,1,1,GE5C Spherical Bearing,voron-trident
GT2 16T Toothed idler w/bearing (6mm wide) (3mm bore) (13mmOD),1,1,1,1,GT2 16T Toothed idler w/bearing (6mm wide) (3mm bore) (13mmOD),voron-0
GT2 20T (6mm wide) (8mm bore),1,1,1,1,GT2 20T (6mm wide) (8mm bore),voron-0
GT2 20T (6mm wide) Pulley (5mm bore) - No Set Screw Hub,1,1,1,1,GT2 20T (6mm wide) Pulley (5mm bore) - No Set Screw Hub,voron-2.2
GT2 20T (9mm wide) Toothed Idler (5mm bore),1,1,1,1,GT2 20T (9mm wide) Toothed Idler (5mm bore),voron-2.4
GT2 80T (6mm wide) Pulley (5mm bore),1,1,1,1,GT2 80T (6mm wide) Pulley (5mm bore),voron-2.4
GT2 Belt Loop (6mm wide) - 110mm,1,1,1,1,GT2 Belt Loop (6mm wide) - 110mm,voron-2.2
GT2 Belt Loop (6mm wide) - 150mm,1,1,1,1,GT2 Belt Loop (6mm wide) - 150mm,jetpack
GT2 Open Belt 6mm (2 meters),1,1,1,1,GT2 Open Belt 6mm (2 meters),voron-0
GT2 Open Belt 6mm (3 meters),1,1,1,1,GT2 Open Belt 6mm (3 meters),voron-0.1
GT2 Open Belt 6mm (3000mm),1,1,1,1,GT2 Open Belt 6mm (3000mm),voron-0.2
GT2 Open Belt LL-2GT-6 (6mm wide) - 1500mm,1,1,1,1,GT2 Open Belt LL-2GT-6 (6mm wide) - 1500mm,voron-switchwire
GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,1,1,1,1,GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,voron-switchwire
GT2 Open Belt LL-2GT-6 (9mm wide) - Length Dependant on Config,1,1,1,1,GT2 Open Belt LL-2GT-6 (9mm wide) - Length Dependant on Config,voron-2.2
GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,1,1,1,1,GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,voron-2.4
HFSB5-2020-150-TPW,1,1,1,1,HFSB5-2020-150-TPW,voron-1.8
HFSB5-2020-200-TPW,1,1,1,1,HFSB5-2020-200-TPW,voron-1.8
HFSB5-2020-230,1,1,1,1,HFSB5-2020-230,voron-1.8
HFSB5-2020-232-LTP,1,1,1,1,HFSB5-2020-232-LTP,voron-trident
HFSB5-2020-282-LTP,1,1,1,1,HFSB5-2020-282-LTP,voron-trident
HFSB5-2020-330-LTP,1,1,1,1,HFSB5-2020-330-LTP,voron-trident
HFSB5-2020-332-LTP,1,1,1,1,HFSB5-2020-332-LTP,voron-trident
HFSB5-2020-370,1,1,1,1,HFSB5-2020-370,voron-1.8
HFSB5-2020-370-AH185,1,1,1,1,HFSB5-2020-370-AH185,voron-trident
HFSB5-2020-370-AH185-TPW,1,1,1,1,HFSB5-2020-370-AH185-TPW,voron-trident
HFSB5-2020-370-AH45-BH325,1,1,1,1,HFSB5-2020-370-AH45-BH325,voron-1.8
HFSB5-2020-420,1,1,1,1,HFSB5-2020-420,voron-1.8
HFSB5-2020-420-AH210,1,1,1,1,HFSB5-2020-420-AH210,voron-trident
HFSB5-2020-420-AH210-TPW,1,1,1,1,HFSB5-2020-420-AH210-TPW,voron-trident
HFSB5-2020-420-AH45-BH375,1,1,1,1,HFSB5-2020-420-AH45-BH375,voron-1.8
HFSB5-2020-430,1,1,1,1,HFSB5-2020-430,voron-trident
HFSB5-2020-470-AH235,1,1,1,1,HFSB5-2020-470-AH235,voron-trident
HFSB5-2020-470-AH235-TPW,1,1,1,1,HFSB5-2020-470-AH235-TPW,voron-trident
HFSB5-2020-470-TPW,1,1,1,1,HFSB5-2020-470-TPW,voron-trident
HFSB5-2020-500-LCP-RCP-AV360,1,1,1,1,HFSB5-2020-500-LCP-RCP-AV360,voron-trident
HFSB5-2020-500-LTP-RCP-AV380-AP40,1,1,1,1,HFSB5-2020-500-LTP-RCP-AV380-AP40,voron-1.8
Harness for ADXL Sensor Module,1,1,1,1,Harness for ADXL Sensor Module,stealthburner
Hex Ball Driver Kit,1,1,1,1,Hex Ball Driver Kit,tools
High Temperature Magnet,1,1,1,1,High Temperature Magnet,optional-parts
Hotend Mounting Screws (M2.5/M3),1,1,1,1,Hotend Mounting Screws (M2.5/M3),stealthburner
IEC320 C14 inlet,1,1,1,1,IEC320 C14 inlet,voron-0.2
IGUS E2-100-10-12PZ Chain Ends,1,1,1,1,IGUS E2-100-10-12PZ Chain Ends,voron-2.4
IGUS E2-15-10-028-0 Chain,1,1,1,1,IGUS E2-15-10-028-0 Chain,voron-2.4
IGUS E2-150-10-12PZ Chain Ends,1,1,1,1,IGUS E2-150-10-12PZ Chain Ends,voron-2.4
IGUS E2i-10-10-018-0 Chain,1,1,1,1,IGUS E2i-10-10-018-0 Chain,voron-2.4
Inductive Probe,1,1,1,1,Inductive Probe,voron-2.4
JST Crimp Pin (22-28AWG),1,1,1,1,JST Crimp Pin (22-28AWG),optional-parts
JST XHP-2 Housing,1,1,1,1,JST XHP-2 Housing,optional-parts
JST XHP-3 Housing,1,1,1,1,JST XHP-3 Housing,optional-parts
JST XHP-4 Housing,1,1,1,1,JST XHP-4 Housing,optional-parts
"JST connectors (2pin,3pin,4pin)",1,1,1,1,"JST connectors (2pin,3pin,4pin)",voron-0
"John Guest Bowden Coupling (1/8"" BSPP, 4mm Tubing)",1,1,1,1,"John Guest Bowden Coupling (1/8"" BSPP, 4mm Tubing)",jetpack
KFL08 pillow bearing 8mm ID,1,1,1,1,KFL08 pillow bearing 8mm ID,voron-0
KK Crimp Pin,1,1,1,1,KK Crimp Pin,optional-parts
"Key-bak Super48 36"" 13oz",1,1,1,1,"Key-bak Super48 36"" 13oz",voron-switchwire
LED Light Bar (12v/24v),1,1,1,1,LED Light Bar (12v/24v),optional-parts
Linear Bearings (LMUW8),1,1,1,1,Linear Bearings (LMUW8),voron-1.6.2
Linear Bearings - LM8LUU,1,1,1,1,Linear Bearings - LM8LUU,voron-1.8
Linear Rail MGN12H (300mm),1,1,1,1,Linear Rail MGN12H (300mm),voron-switchwire
Linear Rail MGN12H ** See Configurator for length **,1,1,1,1,Linear Rail MGN12H ** See Configurator for length **,voron-2.4
Linear Rail MGN12H for X Axis,1,1,1,1,Linear Rail MGN12H for X Axis,voron-trident
Linear Rail MGN9H for Y Axis,1,1,1,1,Linear Rail MGN9H for Y Axis,voron-trident
Linear Rail MGN9H for Z Axis,1,1,1,1,Linear Rail MGN9H for Z Axis,voron-trident
Linear Rods (PSFJ8-320),1,1,1,1,Linear Rods (PSFJ8-320),voron-1.6.2
"Linear Rods - 8mm, 320mm Long (for 230mm Z)",1,1,1,1,"Linear Rods - 8mm, 320mm Long (for 230mm Z)",voron-1.8
"Loctite 641 or 609 - Shaft Retaining Compound - Medium Strength, Good to 300F",1,1,1,1,"Loctite 641 or 609 - Shaft Retaining Compound - Medium Strength, Good to 300F",tools
Longer Display Cables (60cm),1,1,1,1,Longer Display Cables (60cm),voron-1.8
M2 x 12 or 13mm Plastite Self Tapping Screw,1,1,1,1,M2 x 12 or 13mm Plastite Self Tapping Screw,mobius-3.1
M2.5x12 SHCS (for dragon hotend only),1,1,1,1,M2.5x12 SHCS (for dragon hotend only),voron-0
M2.5x6 BHCS,1,1,1,1,M2.5x6 BHCS,voron-0.1
M2x6 BHCS,1,1,1,1,M2x6 BHCS,voron-0
M2x6 BHCS/SHCS,1,1,1,1,M2x6 BHCS/SHCS,voron-0.1
M2x6 SHCS,1,1,1,1,M2x6 SHCS,voron-0.2
M2x8 Self Tapping Screw for Plastics,1,1,1,1,M2x8 Self Tapping Screw for Plastics,voron-2.2
M2x8mm Self Tapping Screw,1,1,1,1,M2x8mm Self Tapping Screw,jetpack
M3 T-nut (For 2020 extrusions),1,1,1,1,M3 T-nut (For 2020 extrusions),voron-switchwire
M3 T-nut (For 3030 extrusions),1,1,1,1,M3 T-nut (For 3030 extrusions),voron-switchwire
M3 Thumb Nuts,1,1,1,1,M3 Thumb Nuts,voron-0
M3 Thumb Screws,1,1,1,1,M3 Thumb Screws,voron-1.8
M3x10 SHCS,1,1,1,1,M3x10 SHCS,stealthburner
M3x10mm BHCS,1,1,1,1,M3x10mm BHCS,voron-0
M3x12 FHCS,1,1,1,1,M3x12 FHCS,voron-switchwire
M3x12mm BHCS,1,1,1,1,M3x12mm BHCS,voron-0
M3x30mm BHCS,1,1,1,1,M3x30mm BHCS,voron-0
M3x50 SHCS,1,1,1,1,M3x50 SHCS,stealthburner
M3x6 SHCS,1,1,1,1,M3x6 SHCS,mobius-3.1
M3x6mm BHCS,1,1,1,1,M3x6mm BHCS,voron-0
M3x6mm Set Screw,1,1,1,1,M3x6mm Set Screw,jetpack
M4 Thumb Nuts,1,1,1,1,M4 Thumb Nuts,voron-trident
M4 knurled nut,1,1,1,1,M4 knurled nut,voron-2.4
M4x8 BHCS,1,1,1,1,M4x8 BHCS,voron-switchwire
M5 Heat Set Inserts (M5xD7xL6),1,1,1,1,M5 Heat Set Inserts (M5xD7xL6),voron-trident
M5 Locknut,1,1,1,1,M5 Locknut,voron-2.2
M5 T-nut (For 2020 extrusions),1,1,1,1,M5 T-nut (For 2020 extrusions),voron-switchwire
M5 T-nut (For 3030 extrusions),1,1,1,1,M5 T-nut (For 3030 extrusions),voron-switchwire
M5 Tap,1,1,1,1,M5 Tap,tools
M5x25 BHCS,1,1,1,1,M5x25 BHCS,jetpack
M5x35mm BHCS,1,1,1,1,M5x35mm BHCS,voron-0
M5x40 BHCS,1,1,1,1,M5x40 BHCS,voron-trident
M6 Tap,1,1,1,1,M6 Tap,tools
M8x16 BHCS,1,1,1,1,M8x16 BHCS,voron-switchwire
MOSFET Trigger Switch Drive Module,1,1,1,1,MOSFET Trigger Switch Drive Module,voron-switchwire
MR115-2RS Bearing,1,1,1,1,MR115-2RS Bearing,jetpack
MR128-2RS Bearing,1,1,1,1,MR128-2RS Bearing,jetpack
Magnetic Sheet + PEI (optional),1,1,1,1,Magnetic Sheet + PEI (optional),voron-2.4
Makerbeam XL 15x15 80-100mm,1,1,1,1,Makerbeam XL 15x15 80-100mm,voron-0.2
Mean Well LRS-350-24 PSU,1,1,1,1,Mean Well LRS-350-24 PSU,voron-switchwire
Meanwell LRS-100-24,1,1,1,1,Meanwell LRS-100-24,voron-0
Metal X Carriage (OPTIONAL),1,1,1,1,Metal X Carriage (OPTIONAL),voron-0.1
MicroFit Connector Plug 8 Position (43025-0800),1,1,1,1,MicroFit Connector Plug 8 Position (43025-0800),optional-parts
MicroFit Connector Receptacle 8 Position (43020-0801),1,1,1,1,MicroFit Connector Receptacle 8 Position (43020-0801),optional-parts
Microfit Depinning Tool,1,1,1,1,Microfit Depinning Tool,tools
Microfit3 Dual Row (10circuits) Male & Female Plug,1,1,1,1,Microfit3 Dual Row (10circuits) Male & Female Plug,voron-0
Misumi 2020 x 340mm - HFSB5-2020-340-AH15-BH325,1,1,1,1,Misumi 2020 x 340mm - HFSB5-2020-340-AH15-BH325,voron-switchwire
Misumi 3030 x 300mm - HFSB6-3030-300-TPW,1,1,1,1,Misumi 3030 x 300mm - HFSB6-3030-300-TPW,voron-switchwire
Misumi 3030 x 360mm - HFSB6-3030-360-LCH-RCH,1,1,1,1,Misumi 3030 x 360mm - HFSB6-3030-360-LCH-RCH,voron-switchwire
Misumi 3030 x 400mm - HFSB6-3030-400-TPW,1,1,1,1,Misumi 3030 x 400mm - HFSB6-3030-400-TPW,voron-switchwire
Misumi 3060 x 520mm - HFSB6-3060-520-AH105-BH415-AV180,1,1,1,1,Misumi 3060 x 520mm - HFSB6-3060-520-AH105-BH415-AV180,voron-switchwire
Mosquito Hotend Sock,1,1,1,1,Mosquito Hotend Sock,optional-parts
NEMA14 36mm Round Pancake Motor with 10 tooth gear 20mm,1,1,1,1,NEMA14 36mm Round Pancake Motor with 10 tooth gear 20mm,stealthburner
NEMA14 Stepper Motor (14HS10-0404S),1,1,1,1,NEMA14 Stepper Motor (14HS10-0404S),voron-0
NEMA14 Stepper Motor (14HS17-0504S),1,1,1,1,NEMA14 Stepper Motor (14HS17-0504S),voron-0
NEMA17 Motor 17HS19-2004S (min 35mm shaft for double shear),1,1,1,1,NEMA17 Motor 17HS19-2004S (min 35mm shaft for double shear),voron-trident
NEMA17 Motor with Leadscrew (17LS19-1684E-300G),1,1,1,1,NEMA17 Motor with Leadscrew (17LS19-1684E-300G),voron-1.6.2
NEMA17 Stepper Motor (34mm max) with integrated lead screw 200mm T8x8,1,1,1,1,NEMA17 Stepper Motor (34mm max) with integrated lead screw 200mm T8x8,voron-0.1
NEMA17 Stepper Motor with integrated lead screw 200mm T8x8,1,1,1,1,NEMA17 Stepper Motor with integrated lead screw 200mm T8x8,voron-0.2
"NLGI1 or 2 Grease eg:Mobilux EP1/EP2, Polyrex 222, SHC 220",1,1,1,1,"NLGI1 or 2 Grease eg:Mobilux EP1/EP2, Polyrex 222, SHC 220",tools
NTC 100K Beta 3950 Thermistor Sensor,1,1,1,1,NTC 100K Beta 3950 Thermistor Sensor,optional-parts
Needle Bearings for Bondtech Idler,1,1,1,1,Needle Bearings for Bondtech Idler,mobius-3.1
NeoPixel RGBW Mini Button PCB,1,1,1,1,NeoPixel RGBW Mini Button PCB,stealthburner
Nozzle Scrubber Brush,1,1,1,1,Nozzle Scrubber Brush,optional-parts
Nylon PCB Standoff Kit (M3),1,1,1,1,Nylon PCB Standoff Kit (M3),voron-0
Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR or Panasonic AQA211VL (15A),1,1,1,1,Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR or Panasonic AQA211VL (15A),voron-2.4
Opaque Enclosure Panels,1,1,1,1,Opaque Enclosure Panels,voron-switchwire
PT100 RTD Sensor,1,1,1,1,PT100 RTD Sensor,optional-parts
PTFE Tube,1,1,1,1,PTFE Tube,stealthburner
Power Supply for 24v Conversions,1,1,1,1,Power Supply for 24v Conversions,optional-parts
Prusa MK3 Y Carrier,1,1,1,1,Prusa MK3 Y Carrier,voron-switchwire
Prusa MK52 Heated Bed - 24V,1,1,1,1,Prusa MK52 Heated Bed - 24V,voron-switchwire
RaspberryPi3 B+,1,1,1,1,RaspberryPi3 B+,voron-1.6.2
"RaspberryPi3 B+ (dont get a 4, they have issues)",1,1,1,1,"RaspberryPi3 B+ (dont get a 4, they have issues)",voron-2.2
Ratcheting Wire Terminal Crimper,1,1,1,1,Ratcheting Wire Terminal Crimper,tools
Rear Panel 212mm x 248mm (whatever material you want),1,1,1,1,Rear Panel 212mm x 248mm (whatever material you want),voron-0.2
Rear Panel 212mm x 248mm (whatever material you want),1,1,1,1,Rear Panel 212mm x 248mm (whatever material you want),voron-0.1
Rear Panel 212mm x 248mm x 2.5mm (whatever material you want),1,1,1,1,Rear Panel 212mm x 248mm x 2.5mm (whatever material you want),voron-0
Rubber Foot,1,1,1,1,Rubber Foot,voron-trident
SKR Mini E3 V2,1,1,1,1,SKR Mini E3 V2,voron-switchwire
Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),1,1,1,1,Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),voron-0
Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),1,1,1,1,Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),voron-0.1
Side Panel 212mm x 230mm x 3mm (PC or Acrylic),1,1,1,1,Side Panel 212mm x 230mm x 3mm (PC or Acrylic),voron-0.2
Side/Front/Top Acrylic Panels,1,1,1,1,Side/Front/Top Acrylic Panels,voron-2.4
Side/Front/Top Acrylic Panels,1,1,1,1,Side/Front/Top Acrylic Panels,voron-switchwire
Side/Front/Top Polycarbonate Panels,1,1,1,1,Side/Front/Top Polycarbonate Panels,voron-trident
Side/Front/Top Polycarbonate Panels,1,1,1,1,Side/Front/Top Polycarbonate Panels,voron-1.8
Side/Front/Top Polycarbonate Panels,1,1,1,1,Side/Front/Top Polycarbonate Panels,voron-2.2
Silicon Wire 24gauge 100ft (individual strand length total [example: 25ft of 4p wire=100ft]),1,1,1,1,Silicon Wire 24gauge 100ft (individual strand length total [example: 25ft of 4p wire=100ft]),voron-0
