name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
TycoElectronics - 10EGG1-2 (Normal) or 10EHG1-2 (Medical): Filtered Power Inlet,6,3,3,1,TycoElectronics - 10EGG1-2 (Normal) or 10EHG1-2 (Medical): Filtered Power Inlet,voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
Complete BMG Extruder Clone,5,3,3,1,Complete BMG Extruder Clone,afterburner stealthburner voron-0 voron-0.1 voron-0.2
M5x10 BHCS,5,3,3,1,M5x10 BHCS,voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
M5x16 BHCS,5,3,3,1,M5x16 BHCS,voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
M5x30 BHCS,5,3,3,1,M5x30 BHCS,voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
Thumb Screw Assembly,5,3,3,1,Thumb Screw Assembly,afterburner voron-0 voron-0.1 voron-0.2 voron-m4
Bondtech Motor Gear,4,3,3,2,Bondtech Motor Gear | Bondtech Motor Gear (bowden only),afterburner voron-0 voron-0.1 voron-0.2
Dragon Hotend,4,3,2,3,Dragon Hotend | TL Dragon Hotend | TriangleLab Dragon HotEnd,afterburner optional-parts voron-0 voron-0.1
JST-XH Connector Plug 2 Position,4,3,3,1,JST-XH Connector Plug 2 Position,voron-1.8 voron-2.4 voron-switchwire voron-trident
JST-XH Connector Plug 3 Position,4,3,3,1,JST-XH Connector Plug 3 Position,voron-1.8 voron-2.4 voron-switchwire voron-trident
JST-XH Connector Plug 4 Position,4,3,3,1,JST-XH Connector Plug 4 Position,voron-1.8 voron-2.4 voron-switchwire voron-trident
JST-XH Female Pin,4,3,3,1,JST-XH Female Pin,voron-1.8 voron-2.4 voron-switchwire voron-trident
M3x25 SHCS,4,3,3,1,M3x25 SHCS,jetpack stealthburner voron-2.2 voron-switchwire
M5 Nut,4,3,3,2,M5 Hexnut | M5 Nut,voron-0 voron-1.8 voron-2.2 voron-2.4
MR85 Bearing,4,3,3,2,MR85 Bearing | MR85 Bearings,afterburner voron-0 voron-0.1 voron-0.2
Rubber Compressor Foot,4,3,3,1,Rubber Compressor Foot,voron-1.8 voron-2.2 voron-2.4 voron-switchwire
Shaft/Idler Assembly,4,3,3,1,Shaft/Idler Assembly,afterburner voron-0 voron-0.1 voron-0.2
yellow die springs 8x4x20mm,4,3,3,1,yellow die springs 8x4x20mm,voron-0 voron-0.1 voron-0.2 voron-1.8
3010 blower fans 24V,3,3,3,1,3010 blower fans 24V,voron-0 voron-0.1 voron-0.2
