id,name,category,standard,coverage,scope,base_product,machining,n_tabs,tabs,current_tabs,n_live_links,vendors,text_only_sources,aliases,notes,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,link_10,link_11,link_1_url,link_2_url,link_3_url,link_4_url,link_5_url,link_6_url,link_7_url,link_8_url,link_9_url,link_10_url,link_11_url
hotend.e3d-v6-bowden-hotend-kit-12v,E3D V6 Bowden Hotend Kit (12V),Hotend,,all_live,,,,2,voron-1.6.2 voron-2.2,,2,AliExpress | Filastruder,,,"Trianglelab sells inexpensive clones of the E3D v6 assembly that is as good, if not better, than the original part. Purchase the all metal option. PTFE lined will break down at ABS temps. / Trianglelab sells inexpensive clones of the E3D v6 assembly that is as good, if not better, than the original part. There is no reason to buy the ""legit"" part here unless you don't like money. Purchase the all metal option. PTFE lined will break down at ABS temps.",,,,,,,,,,,,,,,,1,1,Trianglelab,Filastruder,,,,,,,,,,https://www.aliexpress.com/item/32844028127.html,https://www.filastruder.com/products/all-metal-e3d-v6-hotend,,,,,,,,,
hotend.e3d-v6-hotend-bowden,E3D V6 Hotend Bowden,Hotend,,no_links,,,,1,afterburner,,0,,,,"for whichever hotend you pick make sure you have a nozzle a heater cartridge and a thermistor, some come with them some are sold seperatly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotend.e3d-volcano-bowden-hotend-kit-12v,E3D Volcano Bowden Hotend Kit (12V),Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,"We don't really suggest printing with Volcanos, but some folk love them. We do suggest building a non-colcano toolhead first though. Trianglelab sells inexpensive clones of the E3D Volcano assembly that is as good, if not better, than the original part. Purchase the all metal option if you intend to print above 240C. PTFE lined will break down at ABS temps.",,,,,,,1,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32844080369.html,,,,,,,,,,
hotend.trianglelab-dragon-hotend,TriangleLab Dragon Hotend,Hotend,,none_live,,,,4,optional-parts afterburner voron-0 voron-0.1,optional-parts,0,,,Dragon Hotend | TriangleLab Dragon HotEnd | TL Dragon Hotend,pick one of these / It is not recommended to use a high flow hotend with a 3007 fan for cooling if you are only using a 0.4 nozzle.,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
hotend.v6-and-or-mosquito-brass-nozzle,V6 and/or Mosquito Brass Nozzle,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,,,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32835656952.html,,,,,,,,,,
hotend.v6-and-or-mosquito-copper-nozzle,V6 and/or Mosquito Copper Nozzle,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,,,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/33044552706.html,,,,,,,,,,
hotend.v6-and-or-mosquito-steel-nozzle,V6 and/or Mosquito Steel Nozzle,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,"These are suggested for use on filled filaments, you may need to increase temperatures which may result in suboptimal print results or additional tuning requirements. Your Mileage May Vary",,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32850756758.html,,,,,,,,,,
hotend.v6-volcano-heatsink,V6/Volcano Heatsink,Hotend,,all_live,,,,1,optional-parts,optional-parts,2,AliExpress,,,,,,,,,,Spare,,,,,,,,,,,Silver,Gold,,,,,,,,,,https://www.aliexpress.com/item/32842829820.html,https://www.aliexpress.com/item/32895954372.html,,,,,,,,,
hotend.v6-volcano-titanium-heatbreak,V6/Volcano Titanium Heatbreak,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,,,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32853548000.html,,,,,,,,,,
hotend.volcano-brass-nozzle,Volcano Brass Nozzle,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,,,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32839344108.html,,,,,,,,,,
